source,target
You do realize that just because someone crushes you doesn't necessarily make them a booster.,Just because someone beats you doesn't necessarily make them a booster.
Dumb questions: who drafted the text of the TPP?,Who wrote the text of the TPP?
You aren't that special that a machine without the entitlement attitude cant do what you do if it is no longer worth the money.,You are not that important that a machine without the entitlement attitude cannot do what you do if it is no longer worth the money.
Your entire 'argument' is based on a false premise.,I think you might be mistaken.
Frugal male fashion is killing my wallet.,I am having trouble with my finances because of frugal male fashion.
ok  tbh it took me a few seconds to figure out that these are three faucets  not one fancy but useless water feature disguised as a single faucet installation...,I think it would be more efficient to have three separate faucets.
You should stop playing video games,I think you should spend more time on your studies.
Shame  every race I've had online,It is unfortunate that this has happened every time I have played online.
so I'm not even hoping to control him.,So I'm not even trying to control him.
I cannot imagine any workplace having someone in that sort of attire and not having them be the 'odd one out ' particularly in an actual 'corporate' setting  at least looking at the fits/necklaces,I don't think I would like to work with someone who dresses like that.
kinda depends  what is life but slow and painful death?,"It depends on what you mean by ""life""."
You don't jump very high and it looks pathetic.,You don't jump very high.
  that's them being ignorant.,That's them being inconsiderate.
I've always been very much a horse person as well (cue centaur jokes) but they're very difficult to draw properly as anthros and few artists can manage it!,I've always been very much a horse person as well (but I think centaur jokes are inappropriate). It's difficult to draw them properly as anthro characters  and few artists can manage it.
She has no basis for making any sort of diagnosis on your child.,I think she might be mistaken.
There's no such thing as an illegal Tesla store.,I don't think there's an illegal Tesla store.
Huh  and all I got when I did something similar was a lifetime ban from morrisons.,I was banned for life from Morrisons for doing something similar.
Whats so wrong with not believing?,Why do you have a problem with not believing?
All in all an absolutely moronic play by Horford.,I think Horford made a bad play.
I dont have super perfect Crest commercial type teeth,I don't have perfect teeth.
the retard here isn't me.,I am not the one who is mistaken.
If you're pissed off by people stepping on a piece of cloth that they own  then it's not their fault  it's yours.,If you're upset by people stepping on a piece of cloth that they own  then it's not their fault  it's yours.
Good riddance  those things are so goddamn ugly.,I am glad that they are gone.
At most we would only really get one gag out of it  if that,I think it would only be funny once.
Hate us 'cause they ain't us,They dislike us because they are not us.
We all know what it's like to be disappointed,We have all experienced disappointment.
Small leak here  broken seat spring there,There are a few small problems here and there.
Hit the gym or lose your job.,I think it would be a good idea to go to the gym.
I mean  what I'm saying is dumb,I think I might be wrong.
so it could be worse.,It could be worse.
Suck it up  Princess.,Could you please be more positive?
"And i saw that the $35 pre order keys was coming from a ""unknown source""  so its not backed by the developers  would stay away from that.","And I saw that the $35 pre-order keys was coming from an ""unknown source""  so it's not backed by the developers. I would advise against that."
I can feel the early pregnancy symptoms including for some strange reason the nausea which I've never had on my previous pregnancy or prev miscarriage,I am experiencing early pregnancy symptoms  including nausea which I have never experienced before on my previous pregnancy or previous miscarriage.
no wonder why you think everyone is out to get you.,I think you might be mistaken.
No you're right  the head of Xbox has absolutely no sway/clout in the gaming industry.,I think you might be mistaken.
Anyone believing anything else is simply dumb.,I don't think anyone else believes that.
Stop it with your sense-making.,Could you stop trying to make sense?
means you were the last loser,means you were the last person
Doesn't look like it  huh?,I don't think so.
Like show me the Clippers' offensive rating with Blake Griffin vs the Warriors in 3 quarters or something?,Could you show me the Clippers' offensive rating with Blake Griffin vs the Warriors in 3 quarters?
Tickets for the special reserved place in hell are right over there buddy.,I think you might be in trouble.
That article did not even slightly explain how the hell this new system works.,That article did not explain how the new system works.
you* have failed  as if *,I think you might be mistaken.
It would be a shame if someone spit on their bagels....,It would be a shame if someone were to spit on their bagels.
That stinks for him.,That is unfortunate for him.
Hit Database doesn't show anything for this requester  sad.,The hit database doesn't show anything for this requester  which is unfortunate.
Why make it a his word vs. theirs issue  when we have no reason to assume that it is?,Why make it a his word vs. theirs issue  when there is no reason to assume that it is?
Wanting to die at 5.,I am feeling very depressed.
you are actually an idiot and need to shut up.,I think you might be mistaken.
Was/is he a problem drinker?,Did he have a drinking problem?
  you're mad over something you don't understand,I think you might be mistaken.
D2l just went full retard,D2L is not working properly.
"so lets just sit here until i get more data"" than it is for your client being able to render the server's current state instantly  in blatant violation of various laws of real-world physics.",It is not as important for your client to be able to render the server's current state instantly as it is for the server to be able to do so.
I refuse to put these on eBay because I know it'll go to a scalper.,I am not going to put these on eBay because I know it'll go to a scalper.
for those of you not sure what we are talking about.,for those of you who are not sure what we are talking about.
A bunch of teachers have no real experience or deeper grasp of what they're teaching.,A lot of teachers do not have a lot of experience or a deeper understanding of what they are teaching.
Stop being a pushover then,Could you be more assertive then?
Your confirmation bias has convinced you that just simply becoming employed with a police department automatically brands you as a douchebag (seemingly based upon your experience with a handful of cops).,I think you might be mistaken.
"but I'm not interested in hanging out.""",I'm not interested in hanging out.
Ah  that's a bummer  sorry.,That's unfortunate.
BLAM  must run the entire dungeon from the beginning again.,I am not happy about that.
His wife is more annoying than Skyler,I don't like his wife as much as Skyler.
You can't even hold an argument,I don't think you're very good at holding an argument.
Sorry my nerve damage bothers you,I'm sorry that my nerve damage is bothering you.
always oppressing everyone so freaking typical ugh!,I think they are being oppressive.
I see science is lost on you.,I am not sure you understand science.
Sorry  title not clear.,I am sorry  I am not sure I understand the title.
Fool me once  twice  three time's the lady,I think you might be mistaken.
America has the ugliest  most boring currency in the world.,I think the American currency is not very attractive.
omg this is so nasty..,This is not very nice.
bad english hihi :),I am not a native speaker.
Drives me nuts that anything related to ancient Egypt in ANY media has to have some fake mystery assigned to it.,I am not fond of the way ancient Egypt is portrayed in the media.
The problem many people have with Pitbull owners is that they refuse to even acknowledge that the potential for their pets to do harm even exists.,Many people have a problem with Pitbull owners because they refuse to acknowledge the potential for their pets to do harm.
She is a goddamn scumbag and i would jail her parasitic ass for a couple of months.,I think she is a bad person and I would put her in jail for a few months.
Someone else's fault  I suspect  but you're so typical of the anti-ACA demographic  i.e.  underachieving whiners who'd rather blame someone else for their inability to assume fiscal responsibility for their own lives.,I think it was probably someone else's fault  but you're not the only one who is against the ACA.
no it's a drop in the bucket.,no  it's not a lot.
It's not a great thing,I'm not sure it's a good thing.
Only certain actions and desires a labeled selfish.,Only certain actions and desires are labeled selfish.
You're serious about Kyrie?!?!,Kyrie is your favorite basketball player?
Back to moto with you hater!,I think you might be mistaken.
I'm almost convinced that A: He's bugged due to his ludicrously high damage output and health compared to even the final boss or B:,I think A: He's overpowered due to his high damage output and health compared to even the final boss or B:
God damn how much was that thing and where do you work to need that,Where did you get that?
Could be a win/win partnership with us... except we all hate stingrays.,We could form a partnership  but I am not sure we could get along.
This: Stupid and potentially lethal.,This: I think it is dangerous.
Basically  this release is no surprise at all and Delta Gundam will be next  for the exact release date  who knows.,Basically  this release is not a surprise at all  and Delta Gundam will be next  for the exact release date  I am not sure.
These drive me crazy.,I am not a fan of these.
And people have no right to get down on you for being asexual.,And people should be accepting of asexuality.
Am worried about the amount of collabs on the album too.,I am also worried about the number of collaborations on the album.
These numbers are miserable.,I am not satisfied with these numbers.
Did my math wrong,I think I made a mistake in my math.
Kiiiiiinda  regret it now.,I'm not sure if I made the right decision.
Dude that is just so wrong.,That is not correct.
I don't even want to look,I have no interest in looking.
is to sodomize me with a pole and throw me into a shallow grave.,It is to do me harm.
oh my god dude  kill yourself,I think you should reconsider your actions.
I want to try avoid big spoilers,I would prefer not to discuss spoilers.
You're trying way too hard  and acting ridiculously desperate.,I think you might be overdoing it.
No reason for it not to be,It should be
Kagami died way before that.,Kagami died before that.
otherwise people be slippin wangs in your buggy  and thats rape,Otherwise  people will be having sex with you  and that is rape.
Whelp  I'm an idiot -,I made a mistake.
You're missing the sarcasm,I think you might be misunderstanding me.
You sound angry are you sexually frustrated?,Are you angry?
"Well  it just makes it more difficult.""",I think it would be more difficult.
Two pocket clothes do not work for me unless the pockets are freakishly large.,I prefer clothes with two pockets.
Weird I just did too.,That's strange  I just did too.
The second I quit my job to focus on music  I instantly hated every second of it.,I am not enjoying music as much as I thought I would.
He's stealing the data.,He might be stealing the data.
I'd probably comb through that crap for a paycheck.,I'd probably comb through that for a paycheck.
Your obvious sense of entitlement is exactly what is wrong with so many of the youth today.,I think it is important for young people to be humble.
so unfortunately I can't give you specific instructions,I am sorry  but I can't give you specific instructions.
Don't get your hopes up guys.,I am not sure if this will work.
The sad part is this is a chicken and egg problem.,It is unfortunate that this is a chicken and egg problem.
Must be hard for these idiots.,I'm sure it's difficult for them.
I fell into this trap  hard.,I was fooled by this.
What exactly have I been proven wrong on?,Could you explain what I am mistaken about?
just paranoid about doing irreversible damage,I am worried about making mistakes.
I swear I've got some sort of PTSD when I hear classical now.,I'm not a fan of classical music anymore.
You are telling me that I am oversensitive to a rule that you guys are forcing on a sandbox genre famous for having no rules.,I am not sure I agree with your interpretation of the rule.
Pisses me off to no end.,I am really upset.
Microphone is a disgrace  it's very quiet & metallic - metallic sounding can be expected since theres no boom,The microphone is not very good. It is very quiet and metallic-sounding.
and such a waste of space.,And it is a waste of space.
*facepalms until my hand caves through my skull and kills me*,I am extremely frustrated.
All you did was insult,You only insulted.
Troublemakers tossle cap with Dead Presidents.,Troublemakers are not allowed to wear caps with the presidents' faces on them.
> advanced  and threatened Those two together are what matter.,"I think ""advanced"" and ""threatened"" are the most important."
The library won't help me cause it's not 100% free.,Unfortunately the library won't help me because it's not free.
WIlson is destroying records left and right.,Wilson is destroying records.
Selfie sticks seem the be the leading dumb trend as of right now.,Selfie sticks seem to be the leading trend as of right now.
I bet you those damn in-laws were robbing fuku-san every chance they got!,I think those in-laws were probably taking advantage of Fuku-san.
there is no decency over here  everyone is just in it for themselves.,I don't think people are very nice here.
Jerking off with pron takes almost no effort at all.,Watching porn is not very difficult.
Its a hard policy to get exited about.,I am not very excited about this policy.
Stop paying rent - that is throwing money away.,Could you not pay rent? That is a waste of money.
This is literally the worst feeling. :(,This is the worst feeling.
I no scoped that fool cross the map.,I killed him with my sniper rifle.
Western MA keeps proving nothing good happens once you pass Worcester.,Western MA is not a great place to live.
It's just that Jazz fans are the most arrogant pretentious elitist pricks that Ill meet on an average day.,I find Jazz fans to be arrogant and pretentious.
Can you really blame them though?,I don't think it is their fault.
Barry is no longer with us.,Barry has left the company.
Sorry  but a blob of letters appears to have fallen out of your keyboard,I think you might have made a typo.
Never had a part damaged by the company or had anything look completely trashed...now that i've said that  i'm knocking on wood constantly...,I haven't had a part damaged by the company or had anything look completely trashed.
Next generation of parents might get arrested for not keeping their children in bubble wrap...,I think the next generation of parents might be arrested for not keeping their children safe.
You are confusing what the law actually says vs. what the law should say.,I think you might be mistaken.
you head  your helmet sucks.,I think your helmet could be better.
just re released idk?,I think it was just re-released.
I'm nursing a pretty bad hangover.,I'm feeling a bit under the weather.
That's so unfair !!,That's a bit unfair.
You're the one resorting to reactionary aggression instead of forming your argument.,I think you might be overreacting.
"Yeah  ass-raping a passed-out-drunk person isn't generally something done by ""mistake"".",No  I don't think it is a mistake to rape someone who is drunk.
Rarely is it the fault of the person,It is rarely the person's fault.
don't be surprised that your 21 year old girlfriend is immature) ,I think your 21-year-old girlfriend might be immature.
Pointing out the criminally idiotic for us.,I think you might be mistaken.
Screw Command F  this entire post is filled with unsubstantiated rumors and hear-say.,I think this post is filled with unsubstantiated rumors and hearsay.
Lots of things are very wrong.,There are many things that are not right.
Not advice  but since when were noise violations something to waste court time over?,I don't think noise violations should be taken to court.
Never offered it to me :(,I was not offered it.
Anyone else watch Mad Men  too  and can't find Ted threatening on this show?,Has anyone else watched Mad Men and found Ted threatening?
panic sell wands or something,I would recommend selling some wands.
It's like his superpower is being a moron.,He is not very intelligent.
"And  I highly doubt that any of the local writers have an obvious personal grudge that they have gone ""out of their way to make public.",And  I don't think any of the local writers have an obvious personal grudge.
Rinse their piss off of your buds.,Please make sure your friends are not drunk.
If you were team number 5 that sucks but generally speaking that means your team will have left room for doubt.,If you were team number 5  that is unfortunate  but generally speaking  that means your team will have left room for doubt.
Also I got food poisoning.,Also  I am not feeling well.
Probably start by taking the door and cutting it up with a jig saw several times and several ways till I have a few buckets full of wood chips.,I would start by taking the door and cutting it up with a jig saw several times and several ways until I have a few buckets full of wood chips.
Rolling forward while stopped in traffic?,Is it safe to roll forward while stopped in traffic?
The force auto-loot (I mean really who don't auto loot unless you're low on bag space?).,The force auto-loot (I mean  who doesn't auto loot unless they're low on bag space?).
Deaths  cripplings  at least some bystanders being mauled and severe collateral damage.,There will be deaths  injuries  and some damage to property.
But what people really need to learn is reload cancelling.,But people should learn how to reload cancel.
and i shook my head NO and walked away.,I shook my head and walked away.
Damn  this makes me so sad for you.,I am sorry to hear that.
tell you what  brainwashing really does work.,I think brainwashing is effective.
For some reason  my first reaction was to quietly freak out and run into the living room where my family was.,I was very surprised.
It felt awful :(,I was not happy.
Man  you're a stingy bastard.,I think you might be a little tight with your money.
Probably some old system written in COBOL and anybody involved in the initial development of it are either dead or retired.,It is likely that the system was written in COBOL and anybody involved in the initial development of it are either dead or retired.
that's not like amazing or anything that's just average progression,That's not a very good progression.
Buying it was the worst decision I've ever made  and that is saying something.,I regret buying it.
Just stresses me out to not have any semblance of a plan I guess.,I would prefer to have a plan.
No its not a problem like chamberlain was  your right.,I think you are right.
and then you'll run into an arrogant (and ignorant) elitist that will disagree.,And then you might encounter someone who disagrees.
no need to post this,I am not sure if this is necessary to post.
He just won't understand that it's a reflex. :(,He might not understand that it's a reflex.
Oh man  this time I really screwed the pooch.,I made a mistake.
Seriously it's disgusting how people justify it on there.,I find it disgusting how people justify it on there.
Technically speaking  that's physical torture.,That's torture.
Stop trying to confuse science with homophobic delusions.,I think you might be mistaken.
You never know and it may just not be worth it  and you may just have to drag the girls off yourself and find another place to hang out.,You never know  and it may not be worth it  and you may have to drag the girls off yourself and find another place to hang out.
"why didnt you just cover it up by saying ""I said I'm going to go 'crap'..""",Why didn't you just say you were going to go to the bathroom?
you're making the assumption its going to stop that.,I think you might be mistaken.
One warning - Japan is NOT cheap.,One warning - Japan is not inexpensive.
but Ive seen other people up there doing the same thing  so if we are talking about the same area then your looking at the wrong person man  I'm not that dumb,I have seen other people up there doing the same thing  so if we are talking about the same area then you might be looking at the wrong person. I'm not that dumb.
Damn P-47 vs Bf109.,I am not sure which is better  the P-47 or the Bf109.
Crono has no personality  no real character to speak of.,Crono is not very interesting.
